tic,year,conm,roe,roa,pm,lev,sale
AAPL,2020,Apple Inc.,0.60,0.18,0.21,0.70,274515
AAPL,2021,Apple Inc.,0.66,0.20,0.23,0.68,365817
AAPL,2022,Apple Inc.,0.71,0.22,0.25,0.65,394328
AAPL,2023,Apple Inc.,0.75,0.24,0.26,0.63,404255
AAPL,2024,Apple Inc.,0.78,0.25,0.27,0.61,425166
MSFT,2020,Microsoft Corp.,0.40,0.15,0.30,0.60,143015
MSFT,2021,Microsoft Corp.,0.44,0.16,0.32,0.59,168089
MSFT,2022,Microsoft Corp.,0.47,0.17,0.33,0.58,198270
MSFT,2023,Microsoft Corp.,0.49,0.18,0.34,0.57,211635
MSFT,2024,Microsoft Corp.,0.52,0.19,0.35,0.55,227560
NVDA,2020,NVIDIA Corp.,0.50,0.20,0.28,0.50,109180
NVDA,2021,NVIDIA Corp.,0.58,0.23,0.31,0.49,166760
NVDA,2022,NVIDIA Corp.,0.65,0.26,0.33,0.48,269720
NVDA,2023,NVIDIA Corp.,0.78,0.32,0.36,0.46,448720
NVDA,2024,NVIDIA Corp.,0.85,0.38,0.40,0.45,605120
GOOGL,2020,Alphabet Inc.,0.20,0.12,0.20,0.50,182520
GOOGL,2021,Alphabet Inc.,0.24,0.13,0.22,0.49,257630
GOOGL,2022,Alphabet Inc.,0.25,0.14,0.21,0.48,282830
GOOGL,2023,Alphabet Inc.,0.27,0.15,0.22,0.47,302150
GOOGL,2024,Alphabet Inc.,0.29,0.16,0.23,0.46,326530
